animal_id,intake_date_time,intake_type,animal_type,age,gender,outcome_date_time,days_in_shelter,outcome_month,outcome_year,age_group,breed,is_mix_breed,colour,is_multicolour,is_black,is_white,is_brown,is_yellow,is_gray,outcome_type
55456,2018-11-27 17:30:00,owner deceased,dog,5,male,2019-06-06,190,6,2019,adulthood,foxhound,no,tricolour,no,no,no,no,no,no,adoption
58511,2019-01-10 12:28:00,abandoned,dog,5,female,2019-08-30,231,8,2019,adulthood,pitbull,no,grey and white,no,no,yes,no,no,no,adoption
58590,2018-01-24 16:49:00,stray,dog,8,female,2019-01-19,359,1,2019,senior,shep,yes,brindle,yes,no,no,no,no,no,adoption
58629,2018-01-29 16:48:00,stray,dog,13,male,2019-01-26,361,1,2019,super senior,beagle,no,orange and white,no,no,yes,no,no,no,reclaimed
58821,2018-02-25 14:25:00,incompatible with owner lifestyle,dog,13,female,2019-02-22,361,2,2019,super senior,border collie,no,black and white,no,yes,yes,no,no,no,reclaimed
58861,2018-03-01 19:53:00,police assist,dog,8,male,2019-02-05,340,2,2019,senior,pit bull terrier,yes,brown,no,no,no,yes,no,no,reclaimed
59076,2018-04-02 15:16:00,stray,dog,4,female,2019-01-11,283,1,2019,adulthood,hound,yes,tricolour,no,no,no,no,no,no,adoption
59080,2018-04-03 12:23:00,stray,cat,6,male,2019-01-04,275,1,2019,adulthood,domestic short hair,no,black and white,no,yes,yes,no,no,no,adoption
59257,2018-04-24 17:01:00,stray,dog,7,female,2019-04-22,362,4,2019,adulthood,border collie,no,black and tan,no,yes,no,no,yes,no,reclaimed
59532,2018-05-18 09:10:00,stray,cat,3,male,2019-04-14,330,4,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
59593,2018-05-22 09:40:00,stray,cat,3,male,2019-02-26,279,2,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
59623,2018-05-23 12:49:00,litter relinquishment,cat,3,male,2019-02-26,278,2,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
59811,2018-06-08 12:09:00,stray,cat,3,male,2019-01-04,209,1,2019,adolescent,domestic short hair,no,grey and black,no,yes,no,no,no,no,adoption
59848,2018-06-11 09:51:00,incompatible with owner lifestyle,dog,6,male,2019-06-03,356,6,2019,adulthood,bully breed,yes,brown,no,no,no,yes,no,no,adoption
59859,2018-06-11 14:33:00,stray,dog,4,male,2019-02-13,246,2,2019,adulthood,spitz/mix,yes,black,no,yes,no,no,no,no,reclaimed
59896,2018-06-13 15:59:00,stray,cat,3,female,2019-01-05,205,1,2019,adolescent,domestic short hair,no,black and brown,no,yes,no,yes,no,no,adoption
59900,2018-06-14 09:13:00,stray,dog,5,male,2019-05-20,339,5,2019,adulthood,rottweiler,no,black and brown,no,yes,no,yes,no,no,adoption
59909,2018-06-14 15:58:00,stray,cat,3,male,2019-05-11,330,5,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,reclaimed
59976,2018-06-20 13:44:00,litter relinquishment,dog,3,male,2019-05-26,339,5,2019,adolescent,foxhound/mix,yes,brown and white,no,no,yes,yes,no,no,adoption
59984,2018-06-21 12:32:00,litter relinquishment,cat,3,male,2019-04-23,305,4,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,reclaimed
60039,2018-06-26 19:11:00,stray,cat,6,female,2019-01-03,190,1,2019,adulthood,domestic short hair,no,tabbico,no,no,no,no,no,no,adoption
60065,2018-06-28 16:44:00,stray,cat,0,male,2019-03-13,257,3,2019,puppy/kitten,domestic short hair,no,orange and white,no,no,yes,no,no,no,adoption
60076,2018-06-29 12:45:00,stray,cat,3,female,2019-01-04,188,1,2019,adolescent,domestic medium hair,no,calico,yes,no,no,no,no,no,adoption
60105,2018-06-30 15:27:00,litter relinquishment,cat,3,male,2019-05-09,312,5,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
60134,2018-07-03 12:56:00,stray,dog,4,male,2019-04-03,273,4,2019,adulthood,dachshund,yes,black and brown,no,yes,no,yes,no,no,adoption
60244,2018-07-10 18:59:00,unsuitable accommodation,dog,13,male,2019-02-12,216,2,2019,super senior,cocker spaniel,no,black,no,yes,no,no,no,no,adoption
60245,2018-07-10 19:02:00,unsuitable accommodation,dog,15,male,2019-02-12,216,2,2019,super senior,cocker spaniel,no,brown,no,no,no,yes,no,no,adoption
60279,2018-07-16 12:21:00,moving,dog,6,male,2019-01-28,195,1,2019,adulthood,labrador retriever/mix,yes,red,no,no,no,yes,no,no,adoption
60396,2018-07-26 11:33:00,stray,cat,3,female,2019-01-09,166,1,2019,adolescent,domestic short hair,no,black and white,no,yes,yes,no,no,no,adoption
60443,2018-08-01 13:54:00,stray,cat,3,female,2019-02-22,204,2,2019,adolescent,domestic short hair,no,black and white,no,yes,yes,no,no,no,reclaimed
60468,2018-08-03 18:10:00,stray,dog,4,male,2019-02-28,208,2,2019,adulthood,border collie,yes,black,no,yes,no,no,no,no,reclaimed
60510,2018-08-07 15:24:00,unable to afford,cat,3,male,2019-06-09,305,6,2019,adolescent,domestic short hair,no,black and brown,no,yes,no,yes,no,no,reclaimed
60597,2018-08-15 13:24:00,stray,cat,3,female,2019-02-01,169,2,2019,adolescent,domestic short hair,no,tan and black,no,yes,no,no,yes,no,adoption
60604,2018-08-15 16:14:00,stray,cat,4,female,2019-02-18,186,2,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60623,2018-08-17 14:02:00,unable to afford,cat,5,female,2019-01-04,139,1,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60632,2018-08-18 14:06:00,stray,dog,16,male,2019-04-24,248,4,2019,super senior,labrador retriever,no,yellow,no,no,no,no,yes,no,reclaimed
60648,2018-08-20 13:08:00,stray,cat,5,female,2019-08-01,345,8,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,reclaimed
60663,2018-08-20 15:35:00,stray,cat,5,female,2019-01-28,160,1,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60702,2018-08-24 08:18:00,stray,dog,14,male,2019-02-03,162,2,2019,super senior,chihuahua,no,tan and white,no,no,yes,no,yes,no,adoption
60708,2018-08-24 13:30:00,stray,dog,4,male,2019-01-15,143,1,2019,adulthood,great pyrenees,no,white,no,no,yes,no,no,no,reclaimed
60730,2018-08-26 15:29:00,stray,dog,6,male,2019-06-09,286,6,2019,adulthood,bully breed,yes,brindle,yes,no,no,no,no,no,adoption
60731,2018-08-26 15:50:00,stray,cat,5,male,2019-03-16,201,3,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60763,2018-08-29 12:30:00,stray,cat,15,female,2019-01-04,127,1,2019,super senior,british shorthair,no,black,no,yes,no,no,no,no,adoption
60764,2018-08-29 12:30:00,stray,cat,9,female,2019-01-04,127,1,2019,senior,british shorthair,no,black,no,yes,no,no,no,no,adoption
60790,2018-08-31 11:13:00,stray,dog,4,male,2019-04-01,212,4,2019,adulthood,shepherd,yes,black,no,yes,no,no,no,no,adoption
60798,2018-08-31 14:38:00,incompatible with owner lifestyle,cat,2,male,2019-03-01,181,3,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60863,2018-09-06 12:06:00,stray,cat,4,male,2019-07-01,297,7,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60871,2018-09-06 12:53:00,incompatible with owner lifestyle,dog,4,female,2019-03-19,193,3,2019,adulthood,border collie,yes,black and white,no,yes,yes,no,no,no,adoption
60894,2018-09-07 18:23:00,stray,dog,4,female,2019-04-22,226,4,2019,adulthood,australian shepherd,no,tricolour,no,no,no,no,no,no,reclaimed
60896,2018-09-08 09:58:00,stray,dog,4,male,2019-07-20,314,7,2019,adulthood,border collie,yes,black and white,no,yes,yes,no,no,no,reclaimed
60899,2018-09-08 12:53:00,stray,cat,3,male,2019-01-27,140,1,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
60900,2018-09-08 13:23:00,moving,cat,8,female,2019-01-08,121,1,2019,senior,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
60908,2018-09-08 14:49:00,unable to afford,cat,6,female,2019-01-04,117,1,2019,adulthood,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
60927,2018-09-10 13:03:00,incompatible with owner lifestyle,cat,12,female,2019-01-05,116,1,2019,super senior,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60934,2018-09-10 16:09:00,incompatible with owner lifestyle,cat,6,female,2019-02-03,145,2,2019,adulthood,domestic short hair,no,orange,no,no,no,no,no,no,adoption
60948,2018-09-11 18:22:00,stray,dog,12,female,2019-04-29,229,4,2019,super senior,havanese,no,grey and white,no,no,yes,no,no,no,reclaimed
60980,2018-09-14 13:28:00,incompatible with owner lifestyle,dog,7,male,2019-05-08,235,5,2019,adulthood,yorkshire terrier/mix,yes,siver and tan,no,no,no,no,yes,no,adoption
60993,2018-09-14 15:58:00,stray,cat,3,male,2019-03-09,175,3,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
60996,2018-09-14 18:15:00,incompatible with owner lifestyle,cat,6,female,2019-05-22,249,5,2019,adulthood,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
60999,2018-09-15 12:16:00,moving,cat,8,female,2019-01-05,111,1,2019,senior,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
61020,2018-09-17 13:41:00,stray,cat,4,male,2019-02-23,158,2,2019,adulthood,domestic short hair,no,black and brown,no,yes,no,yes,no,no,adoption
61023,2018-09-17 16:48:00,litter relinquishment,cat,3,female,2019-05-10,234,5,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
61058,2018-09-21 10:03:00,stray,cat,3,male,2019-01-18,118,1,2019,adolescent,domestic short hair,no,white,no,no,yes,no,no,no,adoption
61086,2018-09-24 12:12:00,stray,cat,3,male,2019-07-20,298,7,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
61121,2018-09-28 12:53:00,incompatible with owner lifestyle,cat,5,female,2019-02-12,136,2,2019,adulthood,domestic short hair,no,grey,no,no,no,no,no,no,adoption
61127,2018-09-28 15:18:00,owner deceased,cat,6,female,2019-01-24,117,1,2019,adulthood,domestic medium hair,yes,torbie,yes,no,no,no,no,no,adoption
61128,2018-09-28 15:22:00,owner deceased,cat,5,female,2019-02-01,125,2,2019,adulthood,domestic medium hair,no,grey,no,no,no,no,no,no,adoption
61129,2018-09-28 16:20:00,owner deceased,cat,4,female,2019-02-01,125,2,2019,adulthood,domestic medium hair,no,grey,no,no,no,no,no,no,adoption
61134,2018-09-28 16:35:00,unable to afford,cat,8,female,2019-01-25,118,1,2019,senior,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
61135,2018-09-28 16:35:00,unable to afford,cat,3,female,2019-01-25,118,1,2019,adolescent,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
61136,2018-09-28 16:35:00,unable to afford,cat,3,female,2019-01-24,117,1,2019,adolescent,domestic short hair,no,orange and white,no,no,yes,no,no,no,adoption
61138,2018-09-28 16:35:00,unable to afford,cat,3,male,2019-01-24,117,1,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
61139,2018-09-28 16:35:00,unable to afford,cat,3,male,2019-01-22,115,1,2019,adolescent,domestic short hair,no,white and black,no,yes,yes,no,no,no,adoption
61158,2018-10-01 12:26:00,stray,cat,5,female,2019-02-08,129,2,2019,adulthood,domestic short hair,no,tortoiseshell,no,no,no,no,no,no,adoption
61159,2018-10-01 12:35:00,stray,dog,4,female,2019-02-09,130,2,2019,adulthood,bully breed,yes,tan and white,no,no,yes,no,yes,no,adoption
